ref,info
860702421,"<tag k=""access"" v=""yes""/><tag k=""artwork_type"" v=""statue""/><tag k=""height"" v=""6""/><tag k=""location"" v=""roof""/><tag k=""material"" v=""copper""/><tag k=""min_height"" v=""10""/><tag k=""name"" v=""Tượng Đức Thánh Trần Hưng Đạo""/><tag k=""name:de"" v=""Tran Hung Dao Statue""/><tag k=""name:en"" v=""Tran Hung Dao Statue""/><tag k=""name:id"" v=""Patung Tran Hung Dao""/><tag k=""name:ja"" v=""チャンフンダオ像""/><tag k=""tourism"" v=""artwork""/>"
883919300,"<tag k=""amenity"" v=""pub""/><tag k=""name"" v=""Quán Bar Allez Boo""/>"
925138138,"<tag k=""highway"" v=""traffic_signals""/>"
939234243,"<tag k=""amenity"" v=""restaurant""/><tag k=""name"" v=""Nhà Hàng Riverside Saigon""/>"
939234260,"<tag k=""amenity"" v=""atm""/><tag k=""name"" v=""ATM DongA bank""/><tag k=""name:en"" v=""ATM East Asia""/><tag k=""operator"" v=""DongAbank""/>"
939234268,"<tag k=""motorcycle:repair"" v=""yes""/><tag k=""motorcycle:sales"" v=""yes""/><tag k=""motorcycle:tyres"" v=""yes""/><tag k=""operator"" v=""Honda""/><tag k=""repair"" v=""yes""/><tag k=""service"" v=""dealer;tyres;repair""/><tag k=""shop"" v=""motorcycle""/>"
939234271,"<tag k=""amenity"" v=""atm""/><tag k=""name"" v=""ATM ACB""/><tag k=""operator"" v=""ACB""/>"
939234277,"<tag k=""amenity"" v=""atm""/><tag k=""brand"" v=""HSBC""/><tag k=""brand:wikidata"" v=""Q190464""/><tag k=""name"" v=""HSBC""/><tag k=""opening_hours"" v=""24/7""/><tag k=""operator"" v=""HSBC""/><tag k=""operator:wikidata"" v=""Q190464""/>"
943230040,"<tag k=""amenity"" v=""atm""/><tag k=""name"" v=""ATM Sacombank""/><tag k=""operator"" v=""Sacombank""/>"
943230051,"<tag k=""amenity"" v=""parking""/><tag k=""name"" v=""Bãi Giữ Xe""/>"
